項目,預算？,消費,Balance,花費,Balance Display,Budget Display,Notes,Spent Display,image
FOOD 食物,"$20,000.00",21560,-1560,"無標題 (https://www.notion.so/6812049f58a740189f9bb9a687f0f0ca?pvs=21), 總飲食花費 (%E7%B8%BD%E9%A3%B2%E9%A3%9F%E8%8A%B1%E8%B2%BB%201f79f06f7ec081b589f4c26126c1f298.md)",Balance :  NTD$ -1560,預算 :  NTD$ 20000,,花費 :  NTD$ 21560,1.png
ACCOMMODATION 住宿,"$40,000.00",36854,3146,"六天五夜(東京住宿) (%E5%85%AD%E5%A4%A9%E4%BA%94%E5%A4%9C(%E6%9D%B1%E4%BA%AC%E4%BD%8F%E5%AE%BF)%201f79f06f7ec081068ee0d4380bc86a5e.md), 河口湖 (%E6%B2%B3%E5%8F%A3%E6%B9%96%201f79f06f7ec081aab749e00c3b5bf540.md)",Balance :  NTD$ 3146,預算 :  NTD$ 40000,,花費 :  NTD$ 36854,2.png
ENTERTAINMENT 娛樂,"$5,000.00",3000,2000,纜車/清酒試飲/溫泉 (%E7%BA%9C%E8%BB%8A%20%E6%B8%85%E9%85%92%E8%A9%A6%E9%A3%B2%20%E6%BA%AB%E6%B3%89%201f79f06f7ec0812c8b09f8d601f6ceb6.md),Balance :  NTD$ 2000,預算 :  NTD$ 5000,,花費 :  NTD$ 3000,5.png
SOUVENIRS 紀念品,"$2,000.00",4000,-2000,紀念品 (%E7%B4%80%E5%BF%B5%E5%93%81%201f79f06f7ec081cc87cbf86232f108dd.md),Balance :  NTD$ -2000,預算 :  NTD$ 2000,,花費 :  NTD$ 4000,4.png
TRANSPORTATION 交通,"$15,000.00",15000,0,交通花費 (%E4%BA%A4%E9%80%9A%E8%8A%B1%E8%B2%BB%201f79f06f7ec08195bc2fe5eba0110c60.md),Balance :  NTD$ 0,預算 :  NTD$ 15000,,花費 :  NTD$ 15000,3.png
