Transport,No.,等級,出發機場,出發時間,抵達機場,抵達時間,飛行時間,航班資訊,都市,類型
星宇,JX802,Economy,桃園,,成田,2025年6月18日,3 hrs  25 min,,Tokyo,International
星宇,JX803,Economy,成田,,桃園,2025年6月18日,3 hrs  40 min,,Singapore,International
,,,,,,,,,,
