名稱,花費,花費類型,Date,註解
六天五夜(東京住宿),"$28,356.00",ACCOMMODATION 住宿 (ACCOMMODATION%20%E4%BD%8F%E5%AE%BF%201f79f06f7ec0812f9677d5f27b754eda.csv),2024年1月29日 → 2024年2月3日,
河口湖,"$8,498.00",ACCOMMODATION 住宿 (ACCOMMODATION%20%E4%BD%8F%E5%AE%BF%201f79f06f7ec0812f9677d5f27b754eda.csv),2024年1月30日 → 2024年1月31日,
纜車/清酒試飲/溫泉,"$3,000.00",ENTERTAINMENT 娛樂 (ENTERTAINMENT%20%E5%A8%9B%E6%A8%82%201f79f06f7ec0815ca7e0f82d72ece6aa.csv),2024年1月29日 → 2024年2月3日,
總飲食花費,"$21,560.00",FOOD 食物 (FOOD%20%E9%A3%9F%E7%89%A9%201f79f06f7ec08143b3addd61aaecd105.csv),2024年1月29日 → 2024年2月3日,
交通花費,"$15,000.00",TRANSPORTATION 交通 (TRANSPORTATION%20%E4%BA%A4%E9%80%9A%201f79f06f7ec08121ac8cc5353ec207a3.csv),2024年1月29日 → 2024年2月3日,
紀念品,"$4,000.00",SOUVENIRS 紀念品 (SOUVENIRS%20%E7%B4%80%E5%BF%B5%E5%93%81%201f79f06f7ec081ca94bef26c2b6b0ff0.csv),,
New Expense,,,,
