名稱,花費,花費類型,Date,註解
六天五夜(東京住宿),"$28,356.00",ACCOMMODATION 住宿 (%E6%97%85%E8%A1%8C%E8%A8%88%E5%8A%83%E5%AE%8C%E6%95%B4%E6%A8%A1%E6%9D%BF(%E8%A3%BD%E4%BD%9C%E4%B8%AD)%201f79f06f7ec080be9a03e5fb925a38ac/Budget%201f79f06f7ec081638366e129a4abbd52/ACCOMMODATION%20%E4%BD%8F%E5%AE%BF%201f79f06f7ec0812f9677d5f27b754eda.html),2024年1月29日 → 2024年2月3日,
河口湖,"$8,498.00",ACCOMMODATION 住宿 (%E6%97%85%E8%A1%8C%E8%A8%88%E5%8A%83%E5%AE%8C%E6%95%B4%E6%A8%A1%E6%9D%BF(%E8%A3%BD%E4%BD%9C%E4%B8%AD)%201f79f06f7ec080be9a03e5fb925a38ac/Budget%201f79f06f7ec081638366e129a4abbd52/ACCOMMODATION%20%E4%BD%8F%E5%AE%BF%201f79f06f7ec0812f9677d5f27b754eda.html),2024年1月30日 → 2024年1月31日,
纜車/清酒試飲/溫泉,"$3,000.00",ENTERTAINMENT 娛樂 (%E6%97%85%E8%A1%8C%E8%A8%88%E5%8A%83%E5%AE%8C%E6%95%B4%E6%A8%A1%E6%9D%BF(%E8%A3%BD%E4%BD%9C%E4%B8%AD)%201f79f06f7ec080be9a03e5fb925a38ac/Budget%201f79f06f7ec081638366e129a4abbd52/ENTERTAINMENT%20%E5%A8%9B%E6%A8%82%201f79f06f7ec0815ca7e0f82d72ece6aa.html),2024年1月29日 → 2024年2月3日,
總飲食花費,"$21,560.00",FOOD 食物 (%E6%97%85%E8%A1%8C%E8%A8%88%E5%8A%83%E5%AE%8C%E6%95%B4%E6%A8%A1%E6%9D%BF(%E8%A3%BD%E4%BD%9C%E4%B8%AD)%201f79f06f7ec080be9a03e5fb925a38ac/Budget%201f79f06f7ec081638366e129a4abbd52/FOOD%20%E9%A3%9F%E7%89%A9%201f79f06f7ec08143b3addd61aaecd105.html),2024年1月29日 → 2024年2月3日,
交通花費,"$15,000.00",TRANSPORTATION 交通 (%E6%97%85%E8%A1%8C%E8%A8%88%E5%8A%83%E5%AE%8C%E6%95%B4%E6%A8%A1%E6%9D%BF(%E8%A3%BD%E4%BD%9C%E4%B8%AD)%201f79f06f7ec080be9a03e5fb925a38ac/Budget%201f79f06f7ec081638366e129a4abbd52/TRANSPORTATION%20%E4%BA%A4%E9%80%9A%201f79f06f7ec08121ac8cc5353ec207a3.html),2024年1月29日 → 2024年2月3日,
紀念品,"$4,000.00",SOUVENIRS 紀念品 (%E6%97%85%E8%A1%8C%E8%A8%88%E5%8A%83%E5%AE%8C%E6%95%B4%E6%A8%A1%E6%9D%BF(%E8%A3%BD%E4%BD%9C%E4%B8%AD)%201f79f06f7ec080be9a03e5fb925a38ac/Budget%201f79f06f7ec081638366e129a4abbd52/SOUVENIRS%20%E7%B4%80%E5%BF%B5%E5%93%81%201f79f06f7ec081ca94bef26c2b6b0ff0.html),,
New Expense,,,,
